point,sr1,asr1,sr2,asr2,sr3,asr3,sr4,asr4
380,34765,34310,37330,37053,25308,24521,25275,24517
381,34778,34324,37328,37015,25321,24519,25279,24521
382,34774,34335,37334,37024,25315,24524,25280,24521
383,34770,34348,37343,37069,25313,24525,25287,24519
384,34762,34350,37381,37296,25312,24529,25281,24507
385,34758,34347,37506,38003,25312,24537,25275,24490
386,34755,34351,37779,39645,25314,24539,25280,24483
387,34757,34369,38282,42653,25312,24539,25286,24493
388,34754,34370,38853,46316,25306,24536,25281,24502
389,34763,34367,39209,48962,25304,24542,25276,24504
390,34770,34368,39298,50036,25305,24540,25279,24495
391,34773,34378,39248,49993,25309,24538,25279,24498
392,34780,34371,39034,48927,25305,24527,25281,24506
393,34776,34392,38598,46441,25298,24530,25277,24504
394,34775,34373,37977,42773,25303,24541,25287,24511
395,34777,34383,37481,39564,25302,24539,25281,24507
396,34779,34390,37255,37861,25301,24538,25275,24519
397,34772,34372,37193,37204,25305,24543,25279,24532
398,34772,34405,37172,36985,25307,24534,25283,24521
399,34769,34414,37155,36902,25304,24511,25277,24501
400,34780,34402,37141,36867,25307,24514,25274,24500
401,34777,34409,37140,36839,25305,24526,25278,24505
402,34776,34396,37149,36877,25310,24529,25277,24511
403,34768,34381,37161,36907,25309,24529,25281,24523
404,34761,34361,37153,36903,25306,24535,25284,24513
405,34758,34358,37144,36896,25315,24528,25284,24500
406,34752,34367,37152,36883,25300,24531,25274,24507
407,34757,34350,37135,36902,25306,24528,25279,24510
408,34750,34318,37144,36913,25299,24520,25278,24506
409,34750,34330,37143,36928,25303,24523,25285,24520
410,34750,34350,37144,36936,25299,24531,25278,24500
411,34756,34380,37157,36936,25308,24524,25277,24488
412,34763,34398,37156,36928,25303,24529,25274,24499
413,34755,34385,37153,36917,25311,24534,25280,24501
414,34758,34365,37142,36928,25307,24551,25274,24508
415,34752,34367,37135,36925,25305,24552,25272,24498
416,34750,34356,37131,36896,25310,24547,25274,24495
417,34739,34360,37120,36890,25305,24527,25285,24500
418,34741,34350,37120,36896,25296,24519,25273,24506
419,34740,34365,37115,36895,25303,24516,25277,24500
420,34739,34363,37103,36869,25306,24525,25268,24494
421,34732,34357,37102,36884,25302,24522,25280,24503
422,34713,34341,37102,36900,25300,24530,25278,24497
423,34718,34357,37109,36917,25294,24530,25278,24490
424,34716,34347,37111,36924,25300,24543,25271,24488
425,34706,34324,37114,36920,25304,24530,25278,24494
426,34715,34317,37112,36931,25311,24513,25276,24488
427,34707,34314,37097,36929,25310,24527,25279,24492
428,34708,34305,37091,36927,25302,24535,25269,24501
429,34715,34295,37088,36896,25300,24544,25274,24499
430,34719,34302,37096,36888,25300,24527,25268,24501
431,34722,34314,37105,36889,25303,24534,25282,24512
432,34726,34317,37087,36877,25299,24527,25283,24499
433,34723,34323,37081,36859,25299,24535,25276,24499
434,34713,34306,37079,36852,25299,24534,25270,24514
435,34708,34295,37074,36848,25300,24534,25270,24508
436,34713,34302,37084,36855,25299,24543,25266,24490
437,34713,34299,37084,36866,25295,24546,25272,24491
438,34712,34289,37091,36871,25299,24554,25272,24504
439,34706,34297,37097,36892,25299,24536,25273,24516
440,34696,34314,37087,36896,25299,24526,25270,24501
441,34696,34307,37082,36899,25302,24529,25273,24498
442,34702,34302,37088,36878,25300,24530,25272,24502
443,34715,34308,37088,36877,25293,24536,25270,24498
444,34703,34300,37079,36867,25288,24533,25275,24488
445,34693,34284,37084,36845,25297,24528,25275,24484
446,34688,34254,37082,36850,25292,24517,25277,24487
447,34694,34254,37096,36871,25293,24526,25277,24497
448,34703,34257,37077,36862,25289,24532,25269,24491
449,34707,34249,37066,36852,25291,24515,25267,24488
450,34699,34268,37068,36859,25298,24516,25264,24498
451,34690,34287,37070,36864,25300,24532,25262,24508
452,34690,34273,37053,36843,25299,24541,25264,24511
453,34693,34255,37050,36845,25305,24534,25268,24518
454,34694,34263,37050,36843,25304,24511,25265,24513
455,34692,34274,37052,36846,25299,24518,25260,24516
456,34684,34286,37064,36846,25301,24526,25261,24510
457,34685,34279,37061,36854,25300,24541,25265,24509
458,34678,34264,37047,36839,25296,24545,25260,24490
459,34663,34258,37045,36841,25298,24539,25269,24492
460,34667,34268,37042,36817,25288,24535,25267,24498
461,34671,34256,37053,36816,25298,24533,25266,24489
462,34669,34269,37056,36825,25298,24518,25265,24493
463,34666,34280,37053,36832,25299,24524,25264,24510
464,34660,34273,37038,36820,25289,24539,25264,24512
465,34646,34260,37027,36789,25284,24512,25266,24512
466,34645,34240,37026,36775,25289,24527,25271,24511
467,34647,34229,37027,36768,25293,24525,25272,24500
468,34647,34236,37028,36790,25287,24518,25270,24485
469,34647,34248,37022,36795,25287,24524,25269,24485
470,34643,34218,37026,36795,25296,24522,25266,24488
471,34646,34222,37026,36803,25294,24528,25274,24499
472,34649,34250,37029,36786,25293,24511,25268,24496
473,34658,34275,37045,36787,25293,24510,25264,24492
474,34654,34263,37046,36790,25296,24515,25269,24495
475,34652,34278,37045,36799,25298,24515,25276,24502
476,34644,34272,37035,36798,25293,24523,25262,24503
477,34647,34250,37032,36798,25294,24524,25257,24497
478,34644,34239,37038,36806,25290,24520,25260,24489
479,34648,34233,37037,36813,25304,24520,25262,24504
480,34634,34220,37029,36811,25301,24523,25260,24495
481,34639,34213,37026,36809,25302,24527,25256,24488
482,34638,34219,37015,36783,25292,24528,25263,24493
483,34637,34244,37002,36784,25290,24527,25272,24495
484,34638,34245,36993,36784,25290,24519,25264,24490
485,34631,34254,37000,36781,25288,24523,25263,24505
486,34613,34247,36992,36758,25294,24536,25269,24498
487,34615,34234,36973,36738,25290,24519,25265,24497
488,34620,34238,36974,36725,25290,24524,25266,24502
489,34625,34216,36976,36721,25285,24543,25265,24503
490,34625,34230,36976,36724,25286,24526,25260,24496
491,34625,34236,36969,36739,25285,24516,25254,24494
492,34627,34240,36975,36744,25284,24522,25252,24505
493,34633,34235,36977,36739,25296,24526,25253,24516
494,34632,34232,36984,36738,25289,24521,25265,24510
495,34627,34243,36991,36725,25296,24521,25263,24497
496,34621,34227,36982,36728,25280,24507,25264,24508
497,34618,34229,36964,36712,25282,24511,25261,24500
498,34630,34218,36981,36728,25281,24523,25259,24498
499,34626,34204,36980,36744,25285,24521,25263,24496
500,34614,34209,36978,36747,25290,24526,25251,24511
501,34607,34213,36985,36766,25292,24535,25255,24523
502,34609,34206,36992,36757,25294,24523,25259,24518
503,34616,34209,36978,36732,25306,24517,25264,24502
504,34617,34212,36980,36711,25298,24524,25260,24488
505,34621,34208,36979,36715,25293,24517,25262,24480
506,34626,34205,36987,36719,25290,24519,25263,24488
507,34602,34191,36974,36726,25290,24511,25265,24488
508,34600,34196,36972,36737,25293,24512,25261,24502
509,34604,34192,36972,36730,25293,24510,25256,24500
510,34608,34186,36973,36721,25290,24505,25255,24491
511,34616,34188,36969,36724,25291,24511,25266,24488
512,34600,34204,36958,36708,25298,24505,25268,24487
513,34590,34187,36970,36723,25286,24520,25260,24479
514,34602,34171,36970,36727,25284,24524,25257,24478
515,34600,34181,36970,36737,25285,24518,25258,24471
516,34593,34174,36956,36756,25286,24520,25251,24486
517,34594,34155,36957,36745,25284,24521,25255,24481
518,34583,34134,36961,36708,25286,24527,25256,24476
519,34569,34112,36958,36716,25284,24538,25262,24477
520,34562,34097,36950,36697,25278,24528,25257,24474
521,34564,34111,36956,36686,25274,24519,25255,24469
522,34570,34087,36952,36688,25283,24504,25258,24485
523,34563,34075,36950,36700,25280,24507,25263,24501
524,34559,34066,36949,36727,25286,24517,25259,24507
525,34556,34047,36959,36725,25290,24532,25262,24494
526,34542,34034,36959,36722,25286,24522,25260,24483
527,34534,34024,36949,36729,25289,24528,25259,24477
528,34539,34005,36948,36733,25291,24531,25259,24487
